Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,137916,-,-,-,37.77,-122.38,-8,5,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo,Clearsky DHI,Clearsky DNI,Clearsky GHI
2021,1,1,0,30,0,0,0,7.5,8.200000000000001,1025,332,2.2,0.02,0,0,0
2021,1,1,1,30,0,0,0,7.2,8.3,1025,331,2.1,0.02,0,0,0
2021,1,1,2,30,0,0,0,7,8.5,1025,335,1.8,0.02,0,0,0
2021,1,1,3,30,0,0,0,6.800000000000001,9,1025,169,1.4000000000000001,0.02,0,0,0
2021,1,1,4,30,0,0,0,6.7,9.1,1025,28,1,0.02,0,0,0
2021,1,1,5,30,0,0,0,6.6000000000000005,8.700000000000001,1025,73,1,0.02,0,0,0
2021,1,1,6,30,0,0,0,6.5,8,1025,96,1.3,0.02,0,0,0
2021,1,1,7,30,0,5,5,6.5,8.3,1025,105,1.5,0.02,9,102,10
2021,1,1,8,30,515,46,134,6.9,9.8,1026,111,1.5,0.02,40,590,141
2021,1,1,9,30,751,57,292,6.6000000000000005,11.5,1026,122,1.1,0.02,57,751,292
2021,1,1,10,30,590,124,370,5.7,13.200000000000001,1026,160,0.7000000000000001,0.02,71,814,410
2021,1,1,11,30,389,188,373,5.1000000000000005,14.4,1026,199,0.8,0.02,77,848,481
2021,1,1,12,30,395,196,389,4.800000000000001,14.9,1025,212,0.9,0.02,79,846,492
2021,1,1,13,30,247,204,315,5.1000000000000005,14.700000000000001,1025,221,1,0.02,80,813,445
2021,1,1,14,30,225,168,250,5.800000000000001,14.200000000000001,1026,234,1.2000000000000002,0.02,73,743,344
2021,1,1,15,30,546,67,197,7.300000000000001,12.9,1026,237,1.2000000000000002,0.02,59,598,202
2021,1,1,16,30,152,34,46,7.9,11.3,1026,234,1.2000000000000002,0.02,31,278,54
2021,1,1,17,30,0,0,0,7.6000000000000005,10.3,1027,234,1.5,0.02,0,0,0
2021,1,1,18,30,0,0,0,7.9,9.9,1027,229,1.5,0.02,0,0,0
2021,1,1,19,30,0,0,0,8.4,9.9,1028,226,1.5,0.02,0,0,0
2021,1,1,20,30,0,0,0,8.8,9.9,1028,221,1.5,0.02,0,0,0
2021,1,1,21,30,0,0,0,9.1,10.100000000000001,1028,204,1.4000000000000001,0.02,0,0,0
2021,1,1,22,30,0,0,0,9.3,10.100000000000001,1028,191,1.3,0.02,0,0,0
2021,1,1,23,30,0,0,0,9.4,10.100000000000001,1028,183,1.6,0.02,0,0,0
2021,1,2,0,30,0,0,0,9.5,10.100000000000001,1027,172,2,0.02,0,0,0
2021,1,2,1,30,0,0,0,9.4,10,1027,164,2.1,0.02,0,0,0
2021,1,2,2,30,0,0,0,9.3,10,1027,160,1.9000000000000001,0.02,0,0,0
2021,1,2,3,30,0,0,0,9.3,10,1028,151,1.9000000000000001,0.02,0,0,0
2021,1,2,4,30,0,0,0,9.3,10.100000000000001,1028,142,2,0.02,0,0,0
2021,1,2,5,30,0,0,0,9.200000000000001,10.100000000000001,1028,139,2.1,0.02,0,0,0
2021,1,2,6,30,0,0,0,9.1,10.100000000000001,1028,135,2.1,0.02,0,0,0
2021,1,2,7,30,0,3,3,9.1,10.3,1029,122,1.9000000000000001,0.02,9,46,9
2021,1,2,8,30,3,36,37,9.1,10.600000000000001,1029,110,1.9000000000000001,0.02,51,462,130
2021,1,2,9,30,30,85,94,9.200000000000001,10.9,1029,108,2.1,0.02,69,670,279
2021,1,2,10,30,27,153,164,9.4,11.4,1029,108,1.8,0.02,81,760,398
2021,1,2,11,30,25,169,181,9.700000000000001,11.9,1029,83,1.3,0.02,85,802,468
2021,1,2,12,30,2,87,88,9.9,12.200000000000001,1028,61,1,0.02,87,805,481
2021,1,2,13,30,6,86,89,10.100000000000001,12.200000000000001,1028,62,1,0.02,86,772,434
2021,1,2,14,30,10,96,100,10.200000000000001,12.200000000000001,1028,65,0.9,0.02,77,709,337
2021,1,2,15,30,1,34,34,10.100000000000001,11.8,1028,56,0.8,0.02,61,575,200
2021,1,2,16,30,0,16,16,10,11.200000000000001,1028,37,0.7000000000000001,0.02,32,258,54
2021,1,2,17,30,0,0,0,9.600000000000001,10.700000000000001,1029,20,0.9,0.02,0,0,0
2021,1,2,18,30,0,0,0,9.3,10.5,1029,10,0.9,0.02,0,0,0
2021,1,2,19,30,0,0,0,9.1,10.4,1030,35,0.9,0.02,0,0,0
2021,1,2,20,30,0,0,0,8.9,10.3,1030,71,0.8,0.02,0,0,0
2021,1,2,21,30,0,0,0,8.8,10.200000000000001,1030,97,0.6000000000000001,0.02,0,0,0
2021,1,2,22,30,0,0,0,8.700000000000001,10.200000000000001,1030,126,0.6000000000000001,0.02,0,0,0
2021,1,2,23,30,0,0,0,8.700000000000001,10.100000000000001,1029,148,0.7000000000000001,0.02,0,0,0
2021,1,3,0,30,0,0,0,8.700000000000001,9.9,1029,159,0.9,0.02,0,0,0
2021,1,3,1,30,0,0,0,8.700000000000001,9.8,1029,171,1.1,0.02,0,0,0
2021,1,3,2,30,0,0,0,8.8,9.700000000000001,1029,184,1.2000000000000002,0.02,0,0,0
2021,1,3,3,30,0,0,0,8.700000000000001,9.5,1029,191,1.3,0.02,0,0,0
2021,1,3,4,30,0,0,0,8.700000000000001,9.5,1029,197,1.2000000000000002,0.02,0,0,0
2021,1,3,5,30,0,0,0,8.8,9.600000000000001,1030,193,1,0.02,0,0,0
2021,1,3,6,30,0,0,0,8.8,9.600000000000001,1030,176,1.1,0.02,0,0,0
2021,1,3,7,30,0,3,3,8.700000000000001,10,1030,165,1.2000000000000002,0.02,8,73,9
2021,1,3,8,30,300,39,91,9.200000000000001,10.9,1030,161,1.3,0.02,44,524,134
2021,1,3,9,30,165,110,162,9.700000000000001,12.100000000000001,1030,168,1.2000000000000002,0.02,61,708,283
2021,1,3,10,30,84,179,214,10,13.100000000000001,1030,182,1,0.02,72,786,401
2021,1,3,11,30,168,212,292,10,13.600000000000001,1029,191,0.9,0.02,78,820,471
2021,1,3,12,30,218,214,321,9.700000000000001,13.9,1028,191,0.8,0.02,79,825,484
2021,1,3,13,30,15,130,137,9.5,13.8,1027,177,0.7000000000000001,0.02,77,803,441
2021,1,3,14,30,87,146,178,9.5,13.5,1027,165,0.6000000000000001,0.02,70,744,344
2021,1,3,15,30,40,107,117,9.700000000000001,12.9,1027,163,0.7000000000000001,0.02,57,617,207
2021,1,3,16,30,1,24,24,9.5,12.200000000000001,1027,166,0.8,0.02,31,316,58
2021,1,3,17,30,0,0,0,9.4,11.4,1027,159,1.1,0.02,0,0,0
2021,1,3,18,30,0,0,0,9.3,10.9,1026,156,1.5,0.02,0,0,0
2021,1,3,19,30,0,0,0,9.1,10.600000000000001,1026,167,1.6,0.02,0,0,0
2021,1,3,20,30,0,0,0,9.1,10.600000000000001,1026,176,1.7000000000000002,0.02,0,0,0
2021,1,3,21,30,0,0,0,9.1,10.5,1026,183,1.7000000000000002,0.02,0,0,0
2021,1,3,22,30,0,0,0,9.3,10.5,1026,188,1.7000000000000002,0.02,0,0,0
2021,1,3,23,30,0,0,0,9.5,10.5,1026,183,1.6,0.02,0,0,0
2021,1,4,0,30,0,0,0,9.700000000000001,10.5,1026,165,1.8,0.02,0,0,0
2021,1,4,1,30,0,0,0,9.8,10.5,1026,147,2.4000000000000004,0.02,0,0,0
2021,1,4,2,30,0,0,0,9.8,10.600000000000001,1025,146,3.1,0.02,0,0,0
2021,1,4,3,30,0,0,0,9.9,10.9,1025,152,3.7,0.02,0,0,0
2021,1,4,4,30,0,0,0,10.100000000000001,11.3,1024,157,4.1000000000000005,0.02,0,0,0
2021,1,4,5,30,0,0,0,10.4,11.600000000000001,1024,161,4.5,0.02,0,0,0
2021,1,4,6,30,0,0,0,10.5,11.8,1024,165,4.800000000000001,0.02,0,0,0
2021,1,4,7,30,0,2,2,10.8,12.200000000000001,1024,173,5.300000000000001,0.02,8,64,9
2021,1,4,8,30,10,37,39,11.3,12.9,1024,190,5.6000000000000005,0.02,46,495,131
2021,1,4,9,30,36,62,73,12,13.5,1024,209,5.6000000000000005,0.02,66,676,278
2021,1,4,10,30,33,130,144,12.5,14.200000000000001,1024,226,5.4,0.02,76,774,401
